,cytokine
0,CXCL1
1,CNTN4
2,INSL3
3,IFNA17
4,FGF23
5,PROK1
6,IFNA2
7,EGF
8,FGF10
9,CXCL9
10,OLFM2
11,IL3
12,CCL28
13,EGFL8
14,GDNF
15,IL7
16,CALM1
17,CCL19
18,KITLG
19,IFNA8
20,CCL22
21,FGA
22,SFRP1
23,COL6A3
24,NID2
25,SEMA3A
26,IL2
27,PDGFB
28,GPI
29,CXCL12
30,FGF21
31,CFH
32,F11
33,EDN1
34,CX3CL1
35,ARF1
36,TNC
37,RLN3
38,SPON2
39,PLAU
40,MMP9
41,SEMA3C
42,CCL5
43,CTF1
44,LAMC3
45,HLA-C
46,FGF12
47,FBLN2
48,NPPA
49,TDGF1
50,SPINT1
51,REN
52,GDF9
53,WNT11
54,DEFB1
55,IL21
56,CGA
57,LPA
58,CCL2
59,COL5A2
60,CHAD
61,CXCL13
62,S100A9
63,VEGFA
64,CPAMD8
65,B2M
66,FGF8
67,TRH
68,GUCA2A
69,WNT1
70,EPO
71,NTN1
72,DLK2
73,GPHA2
74,LY6G5C
75,TIMP1
76,SEMA6D
77,WNT7B
78,COL9A3
79,GDF10
80,SAA1
81,COL6A1
82,NODAL
83,UCN
84,VTN
85,F7
86,FST
87,TSHB
88,COL3A1
89,RAET1E
90,FGL1
91,CLEC11A
92,MSTN
93,CCL3
94,NID1
95,CRP
96,BMP2
97,MFGE8
98,MDK
99,TNFSF11
100,SEMA3E
101,LTF
102,C5
103,EFNB1
104,CSH2
105,NRG2
106,AGT
107,COL11A1
108,SEMA6A
109,HP
110,TAC1
111,RARRES2
112,COL18A1
113,IGFBP4
114,COL1A1
115,IL22
116,EPGN
117,LCN2
118,LAMB3
119,GDF5
120,IFNA6
121,ADAM12
122,NPY
123,LYZ
124,SEMA3B
125,IL4
126,EFNB2
127,TSLP
128,LTA
129,CCL8
130,MATN1
131,FN1
132,MFAP5
133,COL4A2
134,COL1A2
135,THPO
136,PLG
137,HGF
138,DLK1
139,PROS1
140,ZP3
141,LAMA1
142,ANGPT2
143,NRG1
144,PDGFC
145,RTN4
146,FGF11
147,IL10
148,CD70
149,IFNA14
150,ADAM10
151,IGFL3
152,TCN2
153,BMP6
154,CEL
155,HCRT
156,GZMB
157,COL4A6
158,PROK2
159,CCL4
160,ADCYAP1
161,CLEC3A
162,DHH
163,RLN2
164,IL12B
165,TGFB1
166,C4A
167,HEBP1
168,ZG16B
169,IFNA21
170,IL23A
171,CORT
172,ANGPTL3
173,GIP
174,BCAN
175,CP
176,COL4A4
177,SEMA4G
178,FSHB
179,NMU
180,TGM2
181,NTS
182,PDYN
183,INHBB
184,HHIPL2
185,DEFB4A
186,NRG3
187,SPINK1
188,DLL3
189,GAS6
190,GUCA2B
191,GNRH1
192,TNFSF14
193,ADM
194,SLIT2
195,C1QA
196,HLA-B
197,DEFB103B
198,VWF
199,EFNB3
200,EFNA3
201,CCL15
202,MST1
203,CD40LG
204,FGB
205,INHBC
206,IL34
207,F12
208,JAG2
209,VCAM1
210,C1QTNF1
211,CD5L
212,GREM1
213,SLPI
214,WNT16
215,OSM
216,NUCB2
217,EFNA5
218,GDF7
219,UCN2
220,ANGPTL2
221,NPW
222,PF4
223,BTLA
224,LCN1
225,RBP4
226,RGMA
227,CCL13
228,CCL7
229,FGF16
230,BMP10
231,LAMC2
232,GH1
233,FGF13
234,CDH1
235,PGF
236,CXCL16
237,PSAP
238,NRTN
239,PSPN
240,APOC3
241,AHSG
242,HSPG2
243,NXPH3
244,NPS
245,MUC7
246,PTGS2
247,IL1B
248,IFNB1
249,SEMA5A
250,ICAM3
251,GNRH2
252,SERPINE2
253,GAL
254,NPVF
255,AMH
256,INHBE
257,CCL26
258,IGF1
259,IFNA13
260,TNFSF18
261,ANXA1
262,CXCL11
263,EFNA2
264,SELPLG
265,ALB
266,LACRT
267,TPH1
268,THBS1
269,COLQ
270,PCSK9
271,EFNA1
272,NGF
273,APOD
274,ITIH2
275,TF
276,CCK
277,PRL
278,NXPH2
279,CCL1
280,GRP
281,DLL4
282,ICAM1
283,GCG
284,SEMA3F
285,APOE
286,CD14
287,ALOX5AP
288,SERPINA1
289,LIPH
290,IFNA5
291,LEP
292,SOST
293,ADAM9
294,TIMP3
295,NMB
296,VEGFB
297,SFTPA1
298,GHRL
299,PENK
300,IL1F10
301,APP
302,LHB
